Ntime;time;Close Price;Open Price;High Price;Low Price;Volume;MACD;CCI;ATR;BOLL;EMA20;MA10;MTM6;MA5;MTM12;ROC;SMI;WVAD;US Dollar Index;Federal Fund Rate
20080724;733613;1252.54;1283.22;1283.22;1251.48;612798;-17.4026942034757;51.5949981265203;31.74;1274.945;1270.72118608266;1252.079;7.18000000000006;1266.482;-21.1600000000001;-1.66130171940018;0.0104188289395947;-26482790.3504275;72.85;2.06
20080725;733614;1257.76;1253.51;1263.23;1251.75;467256;-16.4411754356861;24.8777822485186;11.48;1271.86615384615;1269.48678740812;1253.906;-2.55999999999995;1265.898;13.0699999999999;1.05006065767379;0.0234225925454777;-7086107.19480683;72.81;2.13
20080728;733617;1234.37;1257.76;1260.09;1234.37;428296;-17.3663538890057;-44.2439243844359;25.72;1267.69461538462;1266.14233146449;1254.513;-26.3100000000002;1260.772;-19.0200000000002;-1.51748458181414;0.015765127149882;-14472163.3567179;72.69;2
20080729;733618;1263.2;1236.38;1263.2;1236.38;541424;-15.59347257592;15.4912643246287;28.8300000000002;1265.58961538462;1265.86210942026;1259.342;3.20000000000005;1258.012;23.71;1.91288352467547;0.0141228625712477;-1288160.20649568;73.3;2.05
20080730;733619;1284.26;1264.52;1284.33;1264.52;563133;-12.346759608962;117.394789776277;21.1299999999999;1264.29192307692;1267.61428947547;1263.232;7.25999999999999;1258.426;55.96;4.55589025482374;0.0186410851385234;6366628.8285416;73.3;2.03
20080731;733620;1267.38;1281.37;1284.93;1265.97;534605;-11.0088875167987;83.5502383133542;18.96;1262.48769230769;1267.59197619209;1263.938;-14.8099999999999;1261.394;52.47;4.31883843247648;0.00528649655194184;10729906.2334363;73.2;2.09
20080801;733621;1260.31;1269.42;1270.52;1254.54;468487;-10.3992283275904;23.5272029255576;15.98;1260.11615384615;1266.89845464999;1263.901;7.76999999999998;1261.904;14.95;1.20045609301728;0.000245971229300684;9381888.3616664;73.37;2.04
20080804;733624;1249.01;1260.16;1260.49;1247.45;456228;-10.7044898935656;-54.516804961864;13.04;1258.80307692308;1265.19479230237;1262.802;-8.75;1264.832;-11.3099999999999;-0.897391138758406;-0.0219185591229444;-481904.308410261;73.5;1.97
20080805;733625;1284.88;1254.87;1284.88;1254.67;121931;-7.96024194789311;90.1167170136595;35.8700000000001;1259.05307692308;1267.06957398786;1263.59;50.5100000000002;1269.168;24.2;1.91959894660025;0.00209358072349173;6304767.86781653;73.96;1.97
20080806;733626;1289.19;1283.99;1291.67;1276;487342;-5.37565746683458;134.894974155946;15.6700000000001;1259.40653846154;1269.17628122711;1264.29;25.99;1270.154;29.1900000000001;2.31666666666667;0.0284287032943167;19742843.6258124;74.25;2.01
20080807;733627;1266.07;1286.51;1286.51;1264.29;531938;-5.13376754615524;40.2648653313557;24.9000000000001;1258.68192307692;1268.88044491977;1265.643;-18.1900000000001;1269.892;-10.9300000000001;-0.855912294440099;0.00656361812538007;9435865.79240655;74.54;1.96
20080808;733628;1296.32;1266.29;1297.85;1262.11;496681;-2.47264276447049;107.040101290138;35.74;1260.02038461538;1271.49373587979;1269.499;28.9399999999998;1277.094;14.1299999999999;1.10202076135361;0.0477891261416935;22463635.4595302;75.84;2.01
20080811;733631;1305.32;1294.42;1313.15;1291.41;506731;0.358411041857607;167.642661804922;21.74;1261.65192307692;1274.71528484362;1276.594;45.01;1288.356;52.78;4.21383748223609;0.0322679496215487;17437823.3584757;76.27;1.99
20080812;733632;1289.59;1304.79;1304.79;1285.64;471129;1.31757386970071;107.951248208264;19.6799999999998;1263.08576923077;1276.13192438232;1279.233;40.5799999999999;1289.298;31.8299999999999;2.53068947970996;0.00413309656557505;21339215.1621195;76.17;1.95
20080813;733633;1285.83;1288.64;1294.03;1274.86;478760;1.75409661094841;59.1662597940064;19.1700000000001;1263.55230769231;1277.05555063162;1279.39;0.949999999999818;1288.626;51.46;4.16892827920316;0.0143487086162244;14772133.175207;76.26;1.98
20080814;733634;1292.93;1282.11;1300.11;1276.84;406400;2.6424936690662;73.3446160355405;23.27;1265.40769230769;1278.56740295242;1281.945;3.74000000000001;1293.998;29.73;2.35354654844839;0.0252295174526077;22998679.7321588;76.71;2.09
20080815;733635;1298.2;1293.85;1302.05;1290.74;404182;3.72881622264526;96.9510790261899;11.3099999999999;1267.13115384615;1280.43717409981;1285.734;32.1300000000001;1294.374;13.9400000000001;1.08544998676281;0.0378909258973964;32575095.8547607;77.12;2.08
20080818;733638;1278.6;1298.14;1300.22;1274.51;382929;2.97389724071832;20.6778606965177;25.71;1268.63538461538;1280.26220513792;1288.693;-17.72;1289.03;11.2199999999998;0.885290915116208;-0.00488761596413688;32234402.7799557;77.18;1.91
20080819;733639;1266.69;1276.65;1276.65;1263.11;415976;1.39846046296111;-67.9566275181069;15.49;1270.11192307692;1278.96961417241;1286.874;-38.6299999999999;1284.45;6.38000000000011;0.506224659012474;-0.0174528192120634;12766445.9598646;76.76;1.94
20080820;733640;1274.54;1267.34;1276.01;1261.16;455503;0.774417854029025;-55.958706898569;14.8499999999999;1272.40538461538;1278.54774615599;1285.409;-15.05;1282.192;25.53;2.04401886293945;0.00664553485963566;5630646.77728846;76.93;1.98
20080821;733641;1277.72;1271.07;1281.4;1265.22;403259;0.530345521059189;-40.8627839884579;16.1800000000001;1273.65;1278.46891318875;1286.574;-8.1099999999999;1279.15;-7.16000000000008;-0.55725048253534;-0.0143483090594914;4874473.01474054;76.08;2.01
20080822;733642;1292.2;1277.59;1293.09;1277.59;374107;1.48817665025877;31.1779614325086;15.5;1274.87615384615;1279.7766357422;1286.162;-0.730000000000018;1277.95;3.00999999999999;0.233479937014714;-0.0100511751907577;13338636.2332828;76.74;2.02
20080825;733645;1266.84;1290.47;1290.47;1264.87;342060;0.198634923560121;-77.6174572277405;27.3300000000002;1275.11307692308;1278.54457519533;1282.314;-31.3600000000001;1275.598;0.769999999999982;0.0608181222207289;-0.0176412658286742;-3054240.63417627;76.81;2.01
20080826;733646;1271.51;1267.03;1275.65;1263.21;358757;-0.441417824406244;-89.6130067971442;12.4400000000001;1275.55576923077;1277.87461565291;1280.506;-7.08999999999992;1276.562;-24.8099999999999;-1.91387928906442;-0.0111367754679856;-3821105.33889264;77.27;1.88
20080827;733647;1281.66;1271.29;1285.05;1270.03;349961;-0.128166640341078;-31.8073019474994;15.02;1275.735;1278.23512844788;1280.089;14.97;1277.986;-23.6599999999999;-1.81258235528452;-0.00871663585808975;14287083.6516124;77.04;1.98
20080828;733648;1300.68;1283.79;1300.68;1283.79;385428;1.63598362227776;80.4389139283075;19.02;1276.44615384615;1280.37273526236;1280.864;26.1400000000001;1282.578;11.0900000000001;0.859963244131867;0.00190669495955963;18105372.700811;77.15;1.99
20080829;733649;1282.83;1296.49;1297.59;1282.74;328812;1.57557731951715;40.1720144120166;17.9400000000001;1277.61115384615;1280.60676047547;1279.327;5.1099999999999;1280.704;-3;-0.233312335223163;0.00329739716096444;19494223.6977493;77.32;1.94
20080902;733653;1277.58;1287.83;1303.04;1272.2;478356;1.09149172824277;19.1994535281864;30.8399999999999;1278.37346153846;1280.31849757305;1279.225;10.74;1282.852;-15.3500000000001;-1.58835310429827;0.00852392805147222;4654483.77494778;78.03;1.96
20080903;733654;1274.98;1276.61;1280.6;1265.59;505698;0.492376330768821;-60.7849384503952;15.01;1279.93538461538;1279.81006923276;1280.054;3.47000000000003;1283.546;-23.22;-0.283122164867816;0.000345103452603221;-8286941.1167971;78.09;2.01
20080904;733655;1236.83;1271.8;1271.8;1232.83;521250;-3.02593204424102;-213.114378523443;42.1500000000001;1278.92115384615;1275.71672930583;1276.283;-44.8300000000002;1274.58;-41.77;-2.35732499664481;-0.032002316626491;-9650311.8151996;78.94;1.99
20080905;733656;1242.31;1233.21;1244.94;1217.23;501708;-5.31080690165049;-235.380913269641;27.71;1277.30769230769;1272.5351360386;1272.742;-58.3700000000001;1262.906;-24.3800000000001;-2.52875547256265;-0.0386085745240676;-244710.644297895;78.88;1.97
20080908;733659;1267.79;1249.5;1274.42;1247.12;735134;-5.00783641213729;-53.9625400980939;32.1100000000001;1277.32346153846;1272.08321832064;1270.301;-15.04;1259.898;-6.75;-0.77716557618258;0.000749335457765123;18225716.5152874;79.54;1.92
20080909;733660;1224.51;1267.98;1268.66;1224.51;738063.04;-8.16593262220999;-149.972639517791;44.1500000000001;1275.94653846154;1267.55243562344;1266.068;-58.3199999999999;1249.284;-53.21;-5.23835319609968;-0.0369639247823454;-7770298.65162511;79.51;1.96
20080910;733661;1232.04;1227.5;1243.9;1221.6;654344;-9.94648170278288;-135.541162993124;22.3000000000002;1275.29384615385;1264.1702988974;1262.121;-45.54;1240.696;-60.1600000000001;-2.74699251681349;-0.0387154159449465;-8575115.87280372;80.21;2.12
20080911;733662;1249.05;1229.04;1249.98;1211.54;686924.96;-9.8712254929435;-96.6342339530191;38.4400000000001;1273.91576923077;1262.73027043098;1258.86;-25.9300000000001;1243.14;-17.79;-1.76640372470527;-0.0396946212750255;8285994.36317841;79.87;2
20080912;733663;1251.7;1245.88;1255.09;1233.81;627326;-9.48837546537197;-52.1931143440831;21.28;1272.47384615385;1261.67976848517;1253.962;14.8700000000001;1245.018;-19.8099999999999;-2.33759343351591;-0.0242666604304545;2521232.63512777;78.94;2.1
20080915;733666;1192.7;1250.92;1250.92;1192.7;827951.04;-13.7868448116863;-139.100528519158;59;1269.65192307692;1255.11026672468;1244.949;-44.1299999999999;1230;-88.96;-6.94099839270946;-0.0664381095508695;-19766632.654587;78.49;2.64
20080916;733667;1213.59;1188.31;1214.84;1169.28;945983.04;-15.3310376635091;-146.180602445795;45.5599999999999;1266.47;1251.15595560804;1238.55;-28.72;1227.816;-87.0900000000002;-6.69572838822771;-0.0481497748984299;-1557493.02955849;79.29;1.98
20080917;733668;1156.39;1210.34;1210.34;1155.88;943187.04;-20.9291256509653;-178.53954715481;57.7099999999998;1260.74192307692;1242.13062650251;1226.691;-111.4;1212.686;-126.44;-9.85633326317593;-0.0650372322792945;-18621821.6779728;78.17;2.8
20080918;733669;1206.51;1157.08;1211.14;1133.5;1008268.96;-21.0784068303003;-134.443947891183;77.6400000000001;1257.54653846154;1238.73818588323;1223.659;-18;1204.178;-71.0699999999999;-5.94934636701667;-0.0288172839307419;-9017666.06218886;78.19;2.16
20080919;733670;1255.08;1213.11;1265.12;1213.11;938716.96;-17.0806253402602;29.9336246676354;58.6099999999999;1256.36384615385;1240.29454913244;1224.936;23.04;1204.854;-19.9000000000001;-1.76114215939511;-0.0100253196507308;7937411.61839435;76.13;1.48
